home_team_name,away_team_name,attendance,match_date,tournament_year
Italy,Norway,74624,1994-06-23,1994
Korea Republic,Bolivia,54453,1994-06-23,1994
Romania,Switzerland,61428,1994-06-22,1994
United States,Colombia,93869,1994-06-22,1994
Argentina,Greece,54456,1994-06-21,1994
Germany,Spain,63113,1994-06-21,1994
Nigeria,Bulgaria,44132,1994-06-21,1994
Brazil,Russia,81061,1994-06-20,1994
Netherlands,Saudi Arabia,50535,1994-06-20,1994
Belgium,Morocco,61219,1994-06-19,1994
Norway,Mexico,52395,1994-06-19,1994
Cameroon,Sweden,93194,1994-06-19,1994
United States,Switzerland,73425,1994-06-18,1994
Italy,Republic of Ireland,75338,1994-06-18,1994
Colombia,Romania,91856,1994-06-18,1994
Germany,Bolivia,63117,1994-06-17,1994
Spain,Korea Republic,56247,1994-06-17,1994
West Germany,Argentina,73603,1990-07-08,1990
Italy,England,51426,1990-07-07,1990
West Germany,England,62628,1990-07-04,1990
Italy,Argentina,59978,1990-07-03,1990
West Germany,Czechoslovakia,73347,1990-07-01,1990
England,Cameroon,55205,1990-07-01,1990
Yugoslavia,Argentina,38971,1990-06-30,1990
Italy,Republic of Ireland,73303,1990-06-30,1990
Spain,Yugoslavia,35500,1990-06-26,1990
England,Belgium,34520,1990-06-26,1990
Republic of Ireland,Romania,31818,1990-06-25,1990
Italy,Uruguay,73303,1990-06-25,1990
Brazil,Argentina,61381,1990-06-24,1990
West Germany,Netherlands,74559,1990-06-24,1990
Cameroon,Colombia,50026,1990-06-23,1990
Czechoslovakia,Costa Rica,47673,1990-06-23,1990
Belgium,Spain,35950,1990-06-21,1990
Korea Republic,Uruguay,29039,1990-06-21,1990
Republic of Ireland,Netherlands,33288,1990-06-21,1990
England,Egypt,34959,1990-06-21,1990
Sweden,Costa Rica,30223,1990-06-20,1990
Brazil,Scotland,62502,1990-06-20,1990
West Germany,Colombia,72510,1990-06-19,1990
Yugoslavia,United Arab Emirates,27833,1990-06-19,1990
Austria,United States,34857,1990-06-19,1990
Italy,Czechoslovakia,73303,1990-06-19,1990
Argentina,Romania,52733,1990-06-18,1990
Cameroon,Soviet Union,37307,1990-06-18,1990
Republic of Ireland,Egypt,33288,1990-06-17,1990
Belgium,Uruguay,33759,1990-06-17,1990
Korea Republic,Spain,32733,1990-06-17,1990
Brazil,Costa Rica,58007,1990-06-16,1990
England,Netherlands,35267,1990-06-16,1990
Sweden,Scotland,31823,1990-06-16,1990
Austria,Czechoslovakia,38962,1990-06-15,1990
West Germany,United Arab Emirates,71169,1990-06-15,1990
Yugoslavia,Colombia,32257,1990-06-14,1990
Cameroon,Romania,38687,1990-06-14,1990
Italy,United States,73423,1990-06-14,1990
Uruguay,Spain,35713,1990-06-13,1990
Argentina,Soviet Union,55759,1990-06-13,1990
Belgium,Korea Republic,32790,1990-06-12,1990
Netherlands,Egypt,33288,1990-06-12,1990
Costa Rica,Scotland,30867,1990-06-11,1990
England,Republic of Ireland,35238,1990-06-11,1990
United States,Czechoslovakia,33266,1990-06-10,1990
West Germany,Yugoslavia,74765,1990-06-10,1990
Brazil,Sweden,62628,1990-06-10,1990
United Arab Emirates,Colombia,30791,1990-06-09,1990
Soviet Union,Romania,42907,1990-06-09,1990
Italy,Austria,73303,1990-06-09,1990
Argentina,Cameroon,73780,1990-06-08,1990
Argentina,West Germany,114600,1986-06-29,1986
France,Belgium,21000,1986-06-28,1986
France,West Germany,45000,1986-06-25,1986
Argentina,Belgium,114500,1986-06-25,1986
Argentina,England,114580,1986-06-22,1986
Spain,Belgium,45000,1986-06-22,1986
Brazil,France,65000,1986-06-21,1986
West Germany,Mexico,41700,1986-06-21,1986
England,Paraguay,98728,1986-06-18,1986
Denmark,Spain,38500,1986-06-18,1986
Italy,France,70000,1986-06-17,1986
Morocco,West Germany,19800,1986-06-17,1986
Brazil,Poland,45000,1986-06-16,1986
Argentina,Uruguay,26000,1986-06-16,1986
Mexico,Bulgaria,114580,1986-06-15,1986
Soviet Union,Belgium,32277,1986-06-15,1986
Scotland,Uruguay,20000,1986-06-13,1986
Denmark,West Germany,36000,1986-06-13,1986
Algeria,Spain,23980,1986-06-12,1986
Northern Ireland,Brazil,51000,1986-06-12,1986
Paraguay,Belgium,16000,1986-06-11,1986
Iraq,Mexico,103763,1986-06-11,1986
England,Poland,22700,1986-06-11,1986
Portugal,Morocco,28000,1986-06-11,1986
Argentina,Bulgaria,65000,1986-06-10,1986
Korea Republic,Italy,20000,1986-06-10,1986
Soviet Union,Canada,14200,1986-06-09,1986
Hungary,France,31420,1986-06-09,1986
West Germany,Scotland,30000,1986-06-08,1986
Iraq,Belgium,20000,1986-06-08,1986
Denmark,Uruguay,26500,1986-06-08,1986
Mexico,Paraguay,114600,1986-06-07,1986
Northern Ireland,Spain,28000,1986-06-07,1986
Poland,Portugal,19915,1986-06-07,1986
Brazil,Algeria,48000,1986-06-06,1986
Hungary,Canada,13800,1986-06-06,1986
England,Morocco,20200,1986-06-06,1986
Italy,Argentina,32000,1986-06-05,1986
France,Soviet Union,36540,1986-06-05,1986
Korea Republic,Bulgaria,45000,1986-06-05,1986
Paraguay,Iraq,24000,1986-06-04,1986
Uruguay,West Germany,30500,1986-06-04,1986
Scotland,Denmark,18000,1986-06-04,1986
Belgium,Mexico,110000,1986-06-03,1986
Algeria,Northern Ireland,22000,1986-06-03,1986
Portugal,England,23000,1986-06-03,1986
Soviet Union,Hungary,16500,1986-06-02,1986
Argentina,Korea Republic,60000,1986-06-02,1986
Morocco,Poland,19900,1986-06-02,1986
Spain,Brazil,35748,1986-06-01,1986
Canada,France,65500,1986-06-01,1986
Bulgaria,Italy,96000,1986-05-31,1986
Italy,West Germany,90000,1982-07-11,1982
Poland,France,28000,1982-07-10,1982
Poland,Italy,50000,1982-07-08,1982
West Germany,France,70000,1982-07-08,1982
Italy,Brazil,44000,1982-07-05,1982
Spain,England,75000,1982-07-05,1982
France,Northern Ireland,37000,1982-07-04,1982
Poland,Soviet Union,65000,1982-07-04,1982
Argentina,Brazil,44000,1982-07-02,1982
West Germany,Spain,90089,1982-07-02,1982
Austria,Northern Ireland,20000,1982-07-01,1982
Belgium,Soviet Union,45000,1982-07-01,1982
Italy,Argentina,43000,1982-06-29,1982
West Germany,England,75000,1982-06-29,1982
Austria,France,37000,1982-06-28,1982
Poland,Belgium,65000,1982-06-28,1982
England,Kuwait,39700,1982-06-25,1982
West Germany,Austria,41000,1982-06-25,1982
Northern Ireland,Spain,49562,1982-06-25,1982
France,Czechoslovakia,28000,1982-06-24,1982
Algeria,Chile,16000,1982-06-24,1982
Honduras,Yugoslavia,25000,1982-06-24,1982
Italy,Cameroon,20000,1982-06-23,1982
Argentina,El Salvador,32500,1982-06-23,1982
Brazil,New Zealand,43000,1982-06-23,1982
Poland,Peru,25000,1982-06-22,1982
Belgium,Hungary,37000,1982-06-22,1982
Soviet Union,Scotland,45000,1982-06-22,1982
Algeria,Austria,22000,1982-06-21,1982
France,Kuwait,30043,1982-06-21,1982
Honduras,Northern Ireland,15000,1982-06-21,1982
West Germany,Chile,42000,1982-06-20,1982
England,Czechoslovakia,41123,1982-06-20,1982
Spain,Yugoslavia,48000,1982-06-20,1982
Poland,Cameroon,19000,1982-06-19,1982
Soviet Union,New Zealand,19000,1982-06-19,1982
Belgium,El Salvador,15000,1982-06-19,1982
Italy,Peru,25000,1982-06-18,1982
Brazil,Scotland,47379,1982-06-18,1982
Argentina,Hungary,32093,1982-06-18,1982
Chile,Austria,22500,1982-06-17,1982
Czechoslovakia,Kuwait,25000,1982-06-17,1982
Yugoslavia,Northern Ireland,25000,1982-06-17,1982
England,France,44172,1982-06-16,1982
West Germany,Algeria,42000,1982-06-16,1982
Spain,Honduras,49562,1982-06-16,1982
Peru,Cameroon,11000,1982-06-15,1982
Hungary,El Salvador,23000,1982-06-15,1982
Scotland,New Zealand,36000,1982-06-15,1982
Italy,Poland,33000,1982-06-14,1982
Brazil,Soviet Union,68000,1982-06-14,1982
Argentina,Belgium,95000,1982-06-13,1982
Argentina,Netherlands,71483,1978-06-25,1978
Brazil,Italy,69659,1978-06-24,1978
Netherlands,Italy,67433,1978-06-21,1978
Austria,West Germany,38318,1978-06-21,1978
Brazil,Poland,39586,1978-06-21,1978
Argentina,Peru,37315,1978-06-21,1978
Poland,Peru,35288,1978-06-18,1978
West Germany,Netherlands,40750,1978-06-18,1978
Italy,Austria,66695,1978-06-18,1978
Argentina,Brazil,37326,1978-06-18,1978
Netherlands,Austria,25050,1978-06-14,1978
West Germany,Italy,67547,1978-06-14,1978
Brazil,Peru,31278,1978-06-14,1978
Argentina,Poland,37091,1978-06-14,1978
Brazil,Austria,35221,1978-06-11,1978
Spain,Sweden,42132,1978-06-11,1978
Peru,IR Iran,21262,1978-06-11,1978
Scotland,Netherlands,35130,1978-06-11,1978
France,Hungary,23127,1978-06-10,1978
Poland,Mexico,22651,1978-06-10,1978
West Germany,Tunisia,30667,1978-06-10,1978
Italy,Argentina,71712,1978-06-10,1978
Austria,Sweden,41424,1978-06-07,1978
Brazil,Spain,34771,1978-06-07,1978
Netherlands,Peru,28125,1978-06-07,1978
Scotland,IR Iran,7938,1978-06-07,1978
Italy,Hungary,26533,1978-06-06,1978
West Germany,Mexico,35258,1978-06-06,1978
Poland,Tunisia,9624,1978-06-06,1978
Argentina,France,71666,1978-06-06,1978
Sweden,Brazil,32569,1978-06-03,1978
Austria,Spain,40841,1978-06-03,1978
Peru,Scotland,37927,1978-06-03,1978
Netherlands,IR Iran,33431,1978-06-03,1978
Italy,France,42373,1978-06-02,1978
Tunisia,Mexico,17396,1978-06-02,1978
Argentina,Hungary,71615,1978-06-02,1978
West Germany,Poland,67579,1978-06-01,1978
Netherlands,West Germany,78200,1974-07-07,1974
Brazil,Poland,77100,1974-07-06,1974
Poland,West Germany,62000,1974-07-03,1974
Netherlands,Brazil,53700,1974-07-03,1974
Argentina,Germany DR,54254,1974-07-03,1974
Sweden,Yugoslavia,41300,1974-07-03,1974
Poland,Yugoslavia,58000,1974-06-30,1974
Argentina,Brazil,39400,1974-06-30,1974
Germany DR,Netherlands,68348,1974-06-30,1974
West Germany,Sweden,67800,1974-06-30,1974
Yugoslavia,West Germany,67385,1974-06-26,1974
Brazil,Germany DR,59863,1974-06-26,1974
Sweden,Poland,44955,1974-06-26,1974
Netherlands,Argentina,56548,1974-06-26,1974
Bulgaria,Netherlands,53300,1974-06-23,1974
Poland,Italy,70100,1974-06-23,1974
Sweden,Uruguay,28300,1974-06-23,1974
Argentina,Haiti,25900,1974-06-23,1974
Scotland,Yugoslavia,56000,1974-06-22,1974
Australia,Chile,17400,1974-06-22,1974
Zaire,Brazil,36200,1974-06-22,1974
Germany DR,West Germany,60200,1974-06-22,1974
Haiti,Poland,25300,1974-06-19,1974
Bulgaria,Uruguay,13400,1974-06-19,1974
Netherlands,Sweden,53700,1974-06-19,1974
Argentina,Italy,70100,1974-06-19,1974
Australia,West Germany,53300,1974-06-18,1974
Yugoslavia,Zaire,31700,1974-06-18,1974
Chile,Germany DR,28300,1974-06-18,1974
Scotland,Brazil,62000,1974-06-18,1974
Uruguay,Netherlands,55100,1974-06-15,1974
Sweden,Bulgaria,23800,1974-06-15,1974
Italy,Haiti,53000,1974-06-15,1974
Poland,Argentina,32700,1974-06-15,1974
West Germany,Chile,81100,1974-06-14,1974
Germany DR,Australia,17000,1974-06-14,1974
Zaire,Scotland,27000,1974-06-14,1974
Brazil,Yugoslavia,62000,1974-06-13,1974
Brazil,Italy,107412,1970-06-21,1970
West Germany,Uruguay,104403,1970-06-20,1970
Italy,West Germany,102444,1970-06-17,1970
Brazil,Uruguay,51261,1970-06-17,1970
Brazil,Peru,54233,1970-06-14,1970
Italy,Mexico,26851,1970-06-14,1970
Uruguay,Soviet Union,26085,1970-06-14,1970
West Germany,England,23357,1970-06-14,1970
Mexico,Belgium,108192,1970-06-11,1970
Italy,Israel,9890,1970-06-11,1970
Bulgaria,Morocco,12299,1970-06-11,1970
England,Czechoslovakia,49292,1970-06-11,1970
West Germany,Peru,17875,1970-06-10,1970
Brazil,Romania,50804,1970-06-10,1970
Sweden,Uruguay,18163,1970-06-10,1970
Soviet Union,El Salvador,89979,1970-06-10,1970
Mexico,El Salvador,103058,1970-06-07,1970
Brazil,England,66843,1970-06-07,1970
West Germany,Bulgaria,12710,1970-06-07,1970
Sweden,Israel,9624,1970-06-07,1970
Romania,Czechoslovakia,56818,1970-06-06,1970
Uruguay,Italy,29968,1970-06-06,1970
Soviet Union,Belgium,95261,1970-06-06,1970
Peru,Morocco,13537,1970-06-06,1970
Belgium,El Salvador,92205,1970-06-03,1970
Brazil,Czechoslovakia,52897,1970-06-03,1970
Italy,Sweden,13433,1970-06-03,1970
West Germany,Morocco,12942,1970-06-03,1970
England,Romania,50560,1970-06-02,1970
Peru,Bulgaria,13765,1970-06-02,1970
Uruguay,Israel,20654,1970-06-02,1970
Mexico,Soviet Union,107160,1970-05-31,1970
England,West Germany,96924,1966-07-30,1966
Portugal,Soviet Union,87696,1966-07-28,1966
England,Portugal,94493,1966-07-26,1966
West Germany,Soviet Union,38273,1966-07-25,1966
Portugal,Korea DPR,40248,1966-07-23,1966
England,Argentina,90584,1966-07-23,1966
Soviet Union,Hungary,26844,1966-07-23,1966
West Germany,Uruguay,40007,1966-07-23,1966
England,France,98270,1966-07-20,1966
Hungary,Bulgaria,24129,1966-07-20,1966
West Germany,Spain,42187,1966-07-20,1966
Soviet Union,Chile,16027,1966-07-20,1966
Uruguay,Mexico,61112,1966-07-19,1966
Argentina,Switzerland,32127,1966-07-19,1966
Portugal,Brazil,58479,1966-07-19,1966
Korea DPR,Italy,17829,1966-07-19,1966
West Germany,Argentina,46587,1966-07-16,1966
Soviet Union,Italy,27793,1966-07-16,1966
Portugal,Bulgaria,25438,1966-07-16,1966
England,Mexico,92570,1966-07-16,1966
Spain,Switzerland,32028,1966-07-15,1966
Uruguay,France,45662,1966-07-15,1966
Hungary,Brazil,51387,1966-07-15,1966
Korea DPR,Chile,13792,1966-07-15,1966
Argentina,Spain,42738,1966-07-13,1966
France,Mexico,69237,1966-07-13,1966
Italy,Chile,27199,1966-07-13,1966
Portugal,Hungary,29886,1966-07-13,1966
Brazil,Bulgaria,47308,1966-07-12,1966
Soviet Union,Korea DPR,23006,1966-07-12,1966
West Germany,Switzerland,36127,1966-07-12,1966
England,Uruguay,87148,1966-07-11,1966
Brazil,Czechoslovakia,68679,1962-06-17,1962
Chile,Yugoslavia,66697,1962-06-16,1962
Brazil,Chile,76594,1962-06-13,1962
Czechoslovakia,Yugoslavia,5890,1962-06-13,1962
Chile,Soviet Union,17268,1962-06-10,1962
Brazil,England,17736,1962-06-10,1962
Czechoslovakia,Hungary,11690,1962-06-10,1962
Yugoslavia,West Germany,63324,1962-06-10,1962
England,Bulgaria,5700,1962-06-07,1962
Mexico,Czechoslovakia,10648,1962-06-07,1962
Italy,Switzerland,59828,1962-06-07,1962
Yugoslavia,Colombia,7167,1962-06-07,1962
West Germany,Chile,67224,1962-06-06,1962
Soviet Union,Uruguay,9973,1962-06-06,1962
Hungary,Argentina,7945,1962-06-06,1962
Brazil,Spain,18715,1962-06-06,1962
Spain,Mexico,11875,1962-06-03,1962
Soviet Union,Colombia,8040,1962-06-03,1962
Hungary,Bulgaria,7442,1962-06-03,1962
West Germany,Switzerland,64922,1962-06-03,1962
Chile,Italy,66057,1962-06-02,1962
Brazil,Czechoslovakia,14903,1962-06-02,1962
England,Argentina,9794,1962-06-02,1962
Yugoslavia,Uruguay,8829,1962-06-02,1962
West Germany,Italy,65440,1962-05-31,1962
Hungary,England,7938,1962-05-31,1962
Czechoslovakia,Spain,12700,1962-05-31,1962
Soviet Union,Yugoslavia,9622,1962-05-31,1962
Chile,Switzerland,65006,1962-05-30,1962
Uruguay,Colombia,7908,1962-05-30,1962
Brazil,Mexico,10484,1962-05-30,1962
Argentina,Bulgaria,7134,1962-05-30,1962
Brazil,Sweden,49737,1958-06-29,1958
France,West Germany,32483,1958-06-28,1958
Sweden,West Germany,49471,1958-06-24,1958
Brazil,France,27100,1958-06-24,1958
France,Northern Ireland,11800,1958-06-19,1958
West Germany,Yugoslavia,20055,1958-06-19,1958
Brazil,Wales,25923,1958-06-19,1958
Sweden,Soviet Union,31900,1958-06-19,1958
Northern Ireland,Czechoslovakia,6196,1958-06-17,1958
Wales,Hungary,2823,1958-06-17,1958
Soviet Union,England,23182,1958-06-17,1958
Sweden,Wales,30287,1958-06-15,1958
Paraguay,Yugoslavia,13103,1958-06-15,1958
West Germany,Northern Ireland,21990,1958-06-15,1958
Czechoslovakia,Argentina,16418,1958-06-15,1958
England,Austria,15872,1958-06-15,1958
Brazil,Soviet Union,50928,1958-06-15,1958
Hungary,Mexico,13300,1958-06-15,1958
France,Scotland,13554,1958-06-15,1958
Sweden,Hungary,38850,1958-06-12,1958
Soviet Union,Austria,21239,1958-06-11,1958
West Germany,Czechoslovakia,25000,1958-06-11,1958
Argentina,Northern Ireland,14174,1958-06-11,1958
Yugoslavia,France,12217,1958-06-11,1958
Paraguay,Scotland,11665,1958-06-11,1958
Brazil,England,40895,1958-06-11,1958
Mexico,Wales,15150,1958-06-11,1958
Sweden,Mexico,34107,1958-06-08,1958
Northern Ireland,Czechoslovakia,10647,1958-06-08,1958
Hungary,Wales,15343,1958-06-08,1958
Yugoslavia,Scotland,9591,1958-06-08,1958
Brazil,Austria,17788,1958-06-08,1958
Soviet Union,England,49348,1958-06-08,1958
France,Paraguay,16518,1958-06-08,1958
Argentina,West Germany,31156,1958-06-08,1958
Germany,Hungary,62500,1954-07-04,1954
Austria,Uruguay,32000,1954-07-03,1954
Hungary,Uruguay,45000,1954-06-30,1954
Germany,Austria,58000,1954-06-30,1954
Germany,Yugoslavia,17000,1954-06-27,1954
Hungary,Brazil,40000,1954-06-27,1954
Uruguay,England,28000,1954-06-26,1954
Switzerland,Austria,35000,1954-06-26,1954
Germany,Türkiye,17000,1954-06-23,1954
Switzerland,Italy,30000,1954-06-23,1954
Hungary,Germany,56000,1954-06-20,1954
Türkiye,Korea Republic,4000,1954-06-20,1954
Italy,Belgium,24000,1954-06-20,1954
Switzerland,England,43500,1954-06-20,1954
Uruguay,Scotland,34000,1954-06-19,1954
Brazil,Yugoslavia,24637,1954-06-19,1954
Austria,Czechoslovakia,26000,1954-06-19,1954
France,Mexico,19000,1954-06-19,1954
Switzerland,Italy,43000,1954-06-17,1954
Hungary,Korea Republic,13000,1954-06-17,1954
Germany,Türkiye,28000,1954-06-17,1954
England,Belgium,14000,1954-06-17,1954
Uruguay,Czechoslovakia,20500,1954-06-16,1954
Yugoslavia,France,16000,1954-06-16,1954
Brazil,Mexico,13470,1954-06-16,1954
Austria,Scotland,25000,1954-06-16,1954
Sweden,Spain,11227,1950-07-16,1950
Uruguay,Brazil,173850,1950-07-16,1950
Brazil,Spain,152772,1950-07-13,1950
Uruguay,Sweden,7987,1950-07-13,1950
Brazil,Sweden,138886,1950-07-09,1950
Uruguay,Spain,44802,1950-07-09,1950
Chile,United States,8501,1950-07-02,1950
Italy,Paraguay,25811,1950-07-02,1950
Uruguay,Bolivia,5284,1950-07-02,1950
Spain,England,74462,1950-07-02,1950
Switzerland,Mexico,3580,1950-07-02,1950
Brazil,Yugoslavia,142429,1950-07-01,1950
Spain,Chile,19790,1950-06-29,1950
United States,England,10151,1950-06-29,1950
Sweden,Paraguay,7903,1950-06-29,1950
Brazil,Switzerland,42032,1950-06-28,1950
Yugoslavia,Mexico,11078,1950-06-28,1950
Sweden,Italy,36502,1950-06-25,1950
England,Chile,29703,1950-06-25,1950
Spain,United States,9511,1950-06-25,1950
Yugoslavia,Switzerland,7336,1950-06-25,1950
Brazil,Mexico,81649,1950-06-24,1950
Brazil,Sweden,12000,1938-06-19,1938
Italy,Hungary,45000,1938-06-19,1938
Hungary,Sweden,20000,1938-06-16,1938
Italy,Brazil,33000,1938-06-16,1938
Brazil,Czechoslovakia,18141,1938-06-14,1938
Sweden,Cuba,7000,1938-06-12,1938
Brazil,Czechoslovakia,22021,1938-06-12,1938
Hungary,Switzerland,15000,1938-06-12,1938
Italy,France,58455,1938-06-12,1938
Switzerland,Germany,20025,1938-06-09,1938
Cuba,Romania,8000,1938-06-09,1938
Italy,Norway,19000,1938-06-05,1938
Cuba,Romania,7000,1938-06-05,1938
Hungary,Dutch East Indies,9000,1938-06-05,1938
France,Belgium,30454,1938-06-05,1938
Brazil,Poland,13452,1938-06-05,1938
Czechoslovakia,Netherlands,11000,1938-06-05,1938
Switzerland,Germany,27152,1938-06-04,1938
Italy,Czechoslovakia,55000,1934-06-10,1934
Germany,Austria,7000,1934-06-07,1934
Czechoslovakia,Germany,15000,1934-06-03,1934
Italy,Austria,35000,1934-06-03,1934
Italy,Spain,43000,1934-06-01,1934
Austria,Hungary,23000,1934-05-31,1934
Czechoslovakia,Switzerland,12000,1934-05-31,1934
Italy,Spain,35000,1934-05-31,1934
Germany,Sweden,3000,1934-05-31,1934
Czechoslovakia,Romania,9000,1934-05-27,1934
Hungary,Egypt,9000,1934-05-27,1934
Austria,France,16000,1934-05-27,1934
Switzerland,Netherlands,33000,1934-05-27,1934
Sweden,Argentina,14000,1934-05-27,1934
Spain,Brazil,21000,1934-05-27,1934
Germany,Belgium,8000,1934-05-27,1934
Italy,United States,25000,1934-05-27,1934
Uruguay,Argentina,68346,1930-07-30,1930
Uruguay,Yugoslavia,79867,1930-07-27,1930
Argentina,United States,72886,1930-07-26,1930
Argentina,Chile,41459,1930-07-22,1930
Uruguay,Romania,70022,1930-07-21,1930
Brazil,Bolivia,25466,1930-07-20,1930
Paraguay,Belgium,12000,1930-07-20,1930
Chile,France,2000,1930-07-19,1930
Argentina,Mexico,42100,1930-07-19,1930
Uruguay,Peru,57735,1930-07-18,1930
Yugoslavia,Bolivia,18306,1930-07-17,1930
United States,Paraguay,18306,1930-07-17,1930
Chile,Mexico,9249,1930-07-16,1930
Argentina,France,23409,1930-07-15,1930
Yugoslavia,Brazil,24059,1930-07-14,1930
Romania,Peru,2549,1930-07-14,1930
United States,Belgium,18346,1930-07-13,1930
France,Mexico,4444,1930-07-13,1930
